id,japanese,hiragana,kanji_references,romaji,english,category,jlpt_level,example_japanese,example_english,notes,part_of_speech,part_of_speech_references,frequency,pitch_accent
voc0001,日,ひ,k0001,hi,day; sun,time,N5,今日はいい日です。,Today is a good day.,,noun,,very high,LH
voc0002,日本,にほん,k0001|k0009,nihon,Japan,place,N5,日本に住んでいます。,I live in Japan.,,noun,,very high,LHH
voc0003,毎日,まいにち,k0069|k0001,mainichi,every day,time,N5,毎日日本語を勉強します。,I study Japanese every day.,,noun,,very high,LHHL
voc0004,一,いち,k0002,ichi,one,number,N5,一つください。,Please give me one.,,noun,,very high,LH
voc0005,一人,ひとり,k0002|k0004,hitori,one person; alone,people,N5,一人で行きます。,I will go alone.,,noun,,very high,LHHL
voc0006,一番,いちばん,k0002|k0009,ichiban,number one; most,abstract,N5,これが一番好きです。,I like this one the most.,,noun,,very high,LHHL
voc0007,国,くに,k0003,kuni,country,society,N5,あなたの国はどこですか。,What country are you from?,,noun,,very high,LHL
voc0008,外国,がいこく,k0035|k0003,gaikoku,foreign country,society,N5,外国に行きたいです。,I want to go to a foreign country.,,noun,,very high,LHHL
voc0009,国語,こくご,k0003|k0060,kokugo,national language; Japanese class,language,N5,国語の授業が好きです。,I like Japanese class.,,noun,,high,LHHL
voc0010,人,ひと,k0004,hito,person,people,N5,あの人は誰ですか。,Who is that person?,,noun,,very high,LH
voc0011,日本人,にほんじん,k0001|k0009|k0004,nihonjin,Japanese person,people,N5,彼は日本人です。,He is Japanese.,,noun,,very high,LHHHL
voc0012,大人,おとな,k0006|k0004,otona,adult,people,N5,もう大人です。,I am already an adult.,,noun,,very high,LHHL
voc0013,年,とし,k0005,toshi,year; age,time,N5,今年は何年ですか。,What year is it this year?,,noun,,very high,LHL
voc0014,今年,ことし,k0027|k0005,kotoshi,this year,time,N5,今年は忙しいです。,I am busy this year.,,noun,,very high,LHHL
voc0015,去年,きょねん,k0197|k0005,kyonen,last year,time,N5,去年日本に行きました。,I went to Japan last year.,,noun,,very high,LHHL
voc0016,大きい,おおきい,k0006,ookii,big; large,description,N5,あの山は大きいです。,That mountain is big.,,adjective,,very high,LHHL
voc0017,大学,だいがく,k0006|k0031,daigaku,university,education,N5,大学で勉強しています。,I am studying at university.,,noun,,very high,LHHL
voc0018,大切,たいせつ,k0006|k0177,taisetsu,important; precious,abstract,N5,時間は大切です。,Time is important.,,adjective,,very high,LHHL
voc0019,十,じゅう,k0007,juu,ten,number,N5,十円あります。,I have ten yen.,,noun,,very high,LHH
voc0020,二十,にじゅう,k0008|k0007,nijuu,twenty,number,N5,二十歳になりました。,I turned twenty years old.,,noun,,high,LHHL
voc0021,二,に,k0008,ni,two,number,N5,二つあります。,There are two.,,noun,,very high,LH
voc0022,二人,ふたり,k0008|k0004,futari,two people,people,N5,二人で食べました。,We ate together (two people).,,noun,,very high,LHHL
voc0023,本,ほん,k0009,hon,book,object,N5,本を読んでいます。,I am reading a book.,,noun,,very high,LHL
voc0024,日本語,にほんご,k0001|k0009|k0060,nihongo,Japanese language,language,N5,日本語を勉強しています。,I am studying Japanese.,,noun,,very high,LHHHH
voc0025,本当,ほんとう,k0009|k0071,hontou,really; true,abstract,N5,本当ですか。,Really? Is that true?,,noun,,very high,LHHL
voc0026,中,なか,k0010,naka,inside; middle,position,N5,箱の中に何がありますか。,What is inside the box?,,noun,,very high,LH
voc0027,中学校,ちゅうがっこう,k0010|k0031|k0059,chuugakkoo,middle school,education,N5,中学校に通っています。,I attend middle school.,,noun,,very high,LHHHHL
voc0028,中国,ちゅうごく,k0010|k0003,chuugoku,China,place,N5,中国語を勉強したい。,I want to study Chinese.,,noun,,very high,LHHHL
