id,kanji,hiragana,romaji,example_phrase_references,meaning,adjective_type,theme,past_affirmative,past_negative,past_affirmative_short,past_negative_short,present_affirmative,present_negative,present_negative_short,te_form_affirmative,te_form_negative,adj_naru,grammar_references,kanji_references,jlpt_level,unlocked_at_grammar_id
a001,大きい,おおきい,ookii,,big / large,i,size,大きかったです,大きくなかったです,大きかった,大きくなかった,大きいです,大きくないです,大きくない,大きくて,大きくなくて,,,k0010,N5,
a002,小さい,ちいさい,chiisai,,small / little,i,size,小さかったです,小さくなかったです,小さかった,小さくなかった,小さいです,小さくないです,小さくない,小さくて,小さくなくて,,,k0020,N5,
a003,高い,たかい,takai,,tall / expensive,i,size/price,高かったです,高くなかったです,高かった,高くなかった,高いです,高くないです,高くない,高くて,高くなくて,,,k0030,N5,
a004,安い,やすい,yasui,,cheap / inexpensive,i,price,安かったです,安くなかったです,安かった,安くなかった,安いです,安くないです,安くない,安くて,安くなくて,,,k0040,N5,
a005,新しい,あたらしい,atarashii,,new,i,quality,新しかったです,新しくなかったです,新しかった,新しくなかった,新しいです,新しくないです,新しくない,新しくて,新しくなくて,,,,N5,
a006,古い,ふるい,furui,,old (thing),i,quality,古かったです,古くなかったです,古かった,古くなかった,古いです,古くないです,古くない,古くて,古くなくて,,,,N5,
a007,長い,ながい,nagai,,long,i,size,長かったです,長くなかったです,長かった,長くなかった,長いです,長くないです,長くない,長くて,長くなくて,,,,N5,
a008,短い,みじかい,mijikai,,short,i,size,短かったです,短くなかったです,短かった,短くなかった,短いです,短くないです,短くない,短くて,短くなくて,,,,N5,
a009,速い,はやい,hayai,,fast / quick,i,speed,速かったです,速くなかったです,速かった,速くなかった,速いです,速くないです,速くない,速くて,速くなくて,,,,N5,
a010,遅い,おそい,osoi,,slow / late,i,speed,遅かったです,遅くなかったです,遅かった,遅くなかった,遅いです,遅くないです,遅くない,遅くて,遅くなくて,,,,N5,
a011,強い,つよい,tsuyoi,,strong,i,quality,強かったです,強くなかったです,強かった,強くなかった,強いです,強くないです,強くない,強くて,強くなくて,,,,N4,
a012,弱い,よわい,yowai,,weak,i,quality,弱かったです,弱くなかったです,弱かった,弱くなかった,弱いです,弱くないです,弱くない,弱くて,弱くなくて,,,,N4,
a013,重い,おもい,omoi,,heavy,i,weight,重かったです,重くなかったです,重かった,重くなかった,重いです,重くないです,重くない,重くて,重くなくて,,,,N4,
a014,軽い,かるい,karui,,light (weight),i,weight,軽かったです,軽くなかったです,軽かった,軽くなかった,軽いです,軽くないです,軽くない,軽くて,軽くなくて,,,,N4,
a015,難しい,むずかしい,muzukashii,,difficult,i,difficulty,難しかったです,難しくなかったです,難しかった,難しくなかった,難しいです,難しくないです,難しくない,難しくて,難しくなくて,,,,N5,
a016,易しい,やさしい,yasashii,,easy / gentle,i,difficulty,易しかったです,易しくなかったです,易しかった,易しくなかった,易しいです,易しくないです,易しくない,易しくて,易しくなくて,,,,N5,
a017,楽しい,たのしい,tanoshii,,fun / enjoyable,i,emotion,楽しかったです,楽しくなかったです,楽しかった,楽しくなかった,楽しいです,楽しくないです,楽しくない,楽しくて,楽しくなくて,,,,N5,
a018,悲しい,かなしい,kanashii,,sad,i,emotion,悲しかったです,悲しくなかったです,悲しかった,悲しくなかった,悲しいです,悲しくないです,悲しくない,悲しくて,悲しくなくて,,,,N4,
a019,怖い,こわい,kowai,,scary / frightening,i,emotion,怖かったです,怖くなかったです,怖かった,怖くなかった,怖いです,怖くないです,怖くない,怖くて,怖くなくて,,,,N4,
a020,嬉しい,うれしい,ureshii,,happy / glad,i,emotion,嬉しかったです,嬉しくなかったです,嬉しかった,嬉しくなかった,嬉しいです,嬉しくないです,嬉しくない,嬉しくて,嬉しくなくて,,,,N4,
a021,忙しい,いそがしい,isogashii,,busy,i,state,忙しかったです,忙しくなかったです,忙しかった,忙しくなかった,忙しいです,忙しくないです,忙しくない,忙しくて,忙しくなくて,,,,N4,
